登番,選手名,攻め,ST,型,メモ
3251,平石和男,2,1,差し屋,道中巧者
3473,石川真二,4,4,差し屋、前付け,イン弱A1
3554,仲口博崇,3,,前付け、出足型,
3557,太田和美,,,出足型、差し屋,
3612,馬袋義則,4,,出足型、前付け,
3613,角谷健吾,4,3,,
3744,徳増秀樹,4,4,,2コース弱
3898,平田忠則,3,2,伸び型,
3908,重成一人,4,3,,
3909,佐々木康,5,5,,
3915,繁野谷圭,3,2,,
3940,飯山泰,4,3,,
3941,池田浩二,3,5,差し屋,
3946,赤岩善生,4,4,出足型、前付け,
3965,北中元樹,4,,,
3966,作間章,,,,イン弱A1
4030,森高一真,4,3,前付け,
4033,伊藤将吉,5,,,
4040,廣瀬将亨,4,3,,
4061,萩原秀人,4,3,,
4064,原田篤志,,,差し屋,
4095,福来剛,4,4,,
4109,谷津幸宏,3,2,前付け、出足型,
4137,君島秀三,,,,6号艇強い
4171,榎幸司,,,出足型,展示タイム参考外
4189,川上剛,4,,,
4199,北川潤二,3,,前付け、出足型,
4218,吉川喜継,4,,出足型、前付け,
4236,松村敏,4,5,,
4237,大峯豊,4,3,,
4262,馬場貴也,3,,出足型,
4294,古賀繁輝,4,,,
4297,山田哲也,5,5,伸び型,
4302,西野翔太,4,3,前付け、出足型,
4311,岡村仁,,,,不安定A1
4324,海野康志,3,4,出足型,
4350,篠崎元志,4,,,
4351,里岡右貴,4,4,伸び型,
4357,田中和也,3,2,差し屋、出足型,
4366,前沢丈史,4,,,
4413,水摩敦,4,2,伸び型,
4424,松尾昂明,3,3,伸び型,
4475,末永祐輝,4,3,伸び型,
4500,山田康二,5,,,
4503,上野真之,4,4,,
4610,佐藤大佑,5,3,伸び型,
4743,木村仁紀,3,,,
4760,山崎郡,3,,,
4776,竹田和哉,3,3,,
4787,椎名豊,5,5,伸び型,
4826,井上一輝,4,4,伸び型,
4832,権藤俊光,4,4,出足型、差し屋,道中巧者
4856,豊田健士,3,,,
4903,吉田凌太,4,,,
4980,佐々木完,4,3,,
5017,澤田尚也,4,,,
5018,竹下大樹,3,,,
5026,安河内健,4,,,
5028,原田才一,4,,,
5029,中亮太,4,,,
5034,若林義人,,4,,
5088,高憧四季,4,,,
5158,宮脇遼太,3,,,
5160,藤森陸斗,4,2,,
5222,津田陸翔,4,2,,
