regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
2538,高橋二朗,88,0.136,0,,0.136,全国,27,25,,,,23,,,,32,0.188,22,0.091,●,●
2878,富山弘幸,99,0.434,0,,0.434,全国,41,24,0.292,○,飛ぶ型,17,,,,37,0.432,32,0.281,,
3024,西島義則,3,,3,,,全国,94,49,0.367,○,,1,,,,28,0.571,36,0.694,,
3054,北川幸典,96,0.365,0,,0.365,全国,29,16,,,,32,,,,27,0.444,40,0.2,●,
3070,山室展弘,27,0.481,0,,0.481,全国,20,10,,,,1,,,,20,0.45,15,0.4,,
3072,西田靖,1,,0,,,全国,48,32,0.312,○,,0,,,,35,0.286,26,0.385,,
3075,中村裕将,107,0.383,13,,0.383,全国,35,25,,,,32,,,,36,0.389,32,0.219,●,
3081,岡本慎治,61,0.295,0,,0.295,全国,20,14,,,,22,,,,20,0.35,23,0.217,●,
3105,内山文典,98,0.337,20,,0.337,全国,34,20,,,,33,,,,36,0.389,32,0.25,,
3107,平岡重典,71,0.197,4,,0.197,全国,19,14,,,,17,,,,25,0.12,18,0.278,,●
3156,金子良昭,61,0.18,0,,0.18,全国,31,26,,,,14,,,,28,0.179,27,0.074,●,●
3158,島川光男,123,0.472,0,,0.472,全国,55,22,0.545,○,,34,,,,34,0.441,37,0.297,,
3159,江口晃生,0,,0,,,全国,57,27,0.519,○,,0,,,,22,0.773,22,0.545,,
3161,古場輝義,75,0.44,0,,0.44,全国,42,32,0.406,○,,0,,,,38,0.474,29,0.517,,
3175,渡辺千草,102,0.284,0,,0.284,全国,29,27,,,,28,,,,36,0.222,30,0.133,●,●
3176,長谷川巌,54,0.278,0,,0.278,全国,20,13,,,,20,,,,17,0.294,23,0.087,●,
3202,三品隆浩,104,0.26,25,0.48,0.48,当地,39,28,,,,33,,,,37,0.189,33,0.212,●,●
3207,田村美和,74,0.149,8,,0.149,全国,27,24,,,,23,,,,24,0.125,20,0.1,●,●
3211,北川敏弘,100,0.17,0,,0.17,全国,32,25,,,,30,,,,32,0.125,32,0.188,●,●
3212,亀本勇樹,80,0.312,0,,0.312,全国,33,22,,,,12,,,,28,0.25,31,0.258,,
3224,栗山繁洋,102,0.225,3,,0.225,全国,27,20,,,,18,,,,38,0.211,25,0.16,●,●
3226,浦田信義,104,0.337,13,,0.337,全国,40,25,0.4,○,,30,,,,37,0.378,32,0.219,●,
3232,山川美由紀,87,0.448,0,,0.448,全国,35,14,,,,26,,,,30,0.3,28,0.464,,
3233,小畑実成,107,0.252,0,,0.252,全国,32,21,,,,29,,,,33,0.182,33,0.121,●,●
3246,星野政彦,38,0.184,0,,0.184,全国,10,7,,,,6,,,,15,0.267,12,,,
3251,平石和男,139,0.46,2,,0.46,全国,62,35,0.4,○,,43,0.093,0.349,○,49,0.347,47,0.447,,
3256,三角哲男,115,0.522,7,,0.522,全国,51,25,0.6,○,残す型,34,,,,38,0.447,39,0.41,,
3257,田頭実,5,,0,,,全国,52,15,,,,0,,,,29,0.655,43,0.628,,
3265,今村暢孝,0,,0,,,全国,66,36,0.417,○,,0,,,,26,0.538,29,0.586,,
3268,森竜也,92,0.207,0,,0.207,全国,33,17,,,,5,,,,39,0.179,31,0.226,●,●
