touban,n1c,win1c
2538,27,2
2878,42,17
3024,94,45
3054,29,13
3070,20,10
3072,48,16
3075,35,10
3081,20,6
3105,34,14
3107,19,5
3156,32,5
3158,55,33
3159,57,30
3161,43,10
3175,30,2
3176,20,7
3202,39,11
3207,27,3
3211,32,7
3212,33,11
3224,27,7
3226,40,15
3232,35,21
3233,32,11
3246,10,3
3251,62,27
3256,51,26
3257,52,37
3265,67,30
3268,35,17
3273,1,1
3277,37,11
3282,33,14
3284,34,20
3286,24,10
3289,22,2
3293,31,3
3294,30,6
3297,36,8
3300,57,39
3302,25,10
3303,52,21
3304,61,41
3305,33,14
3306,34,5
3313,29,10
3315,25,6
3319,44,18
3327,54,34
3333,66,43
3334,62,35
3339,31,7
3340,36,11
3346,10,1
3349,57,30
3350,38,23
3353,13,2
3355,12,1
3357,32,8
3361,28,7
3362,50,22
3370,24,8
3372,22,4
3377,32,1
3381,33,13
3385,44,23
3388,41,27
3391,3,0
3392,37,12
3401,32,16
3406,48,25
3411,28,6
3412,62,43
3414,4,1
3415,60,42
3419,10,1
3422,63,42
3430,33,15
3432,28,7
3434,35,16
3435,61,40
3436,40,24
3439,53,30
3441,32,9
3442,27,8
3444,15,6
3445,33,14
3448,24,10
3454,39,12
3455,42,20
3458,25,8
3459,21,0
3461,14,5
3462,4,3
3463,37,9
3467,30,6
3470,31,10
3471,29,7
3473,117,58
3474,35,11
3475,46,23
3477,32,7
3478,35,21
3482,50,21
3484,60,35
3489,60,39
3497,32,20
3499,59,43
3502,43,20
3503,30,7
3505,50,25
3507,30,10
3508,35,22
3509,23,4
3514,53,35
3516,36,8
3517,36,19
3518,22,2
3519,27,6
3523,24,6
3527,42,18
3528,32,7
3532,40,25
3535,29,13
3538,17,2
3539,33,10
3541,61,35
3542,40,13
3543,27,13
3544,28,3
3546,34,7
3548,60,35
3550,45,24
3551,23,5
3554,85,57
3556,70,54
3557,80,49
3558,34,16
3562,60,33
3563,46,20
3564,29,8
3566,34,14
3567,25,8
3568,32,14
3569,38,7
3572,49,21
3574,64,42
3576,62,35
3577,31,11
3578,21,3
3579,22,10
3580,32,10
3581,40,18
3582,59,37
3583,26,3
3584,37,9
3587,35,11
3589,26,13
3590,67,44
3591,23,5
3596,24,11
3602,30,7
3604,33,14
3605,32,14
3606,50,17
3611,49,25
3612,78,47
3613,58,35
3614,35,7
3615,36,13
3616,29,13
3617,29,12
3618,66,40
3619,39,14
3620,29,10
3621,30,12
3623,84,59
3627,43,21
3629,44,28
3630,19,2
3631,13,1
3635,39,18
3637,27,8
3641,54,32
3642,21,7
3643,39,21
3645,13,4
3647,31,5
3652,24,9
3653,23,7
3654,51,33
3655,55,28
3656,32,11
3659,37,20
3660,26,7
3661,54,23
3662,48,23
3663,47,25
3664,34,13
3679,53,40
3680,34,5
3681,28,12
3684,42,21
3685,31,14
3686,52,34
3687,34,21
3690,35,11
3692,38,14
3696,33,9
3699,22,3
3701,20,5
3703,52,26
3704,22,5
3708,37,17
3710,33,12
3711,67,35
3712,33,19
3713,42,23
3714,30,15
3715,31,11
3716,56,34
3717,34,19
